DATE,FYOINT_W006RC1Q027SBEA
1947-01-01,11.34805377098742104400
1948-01-01,11.58341338456612231800
1949-01-01,13.85256194297265014900
1950-01-01,11.15851961784621092700
1951-01-01,8.33244025292037295000
1952-01-01,8.02643036418583209500
1953-01-01,8.43200104664093674400
1954-01-01,8.88457987072945521700
1955-01-01,7.85819601743385343200
1956-01-01,7.76296885030416042600
1957-01-01,7.94892732536560017800
1958-01-01,8.73999906423992888200
1959-01-01,7.96582519976774407600
1960-01-01,9.19462643107669909300
1961-01-01,8.74809498378293887000
1962-01-01,8.35273291624230079100
1963-01-01,8.82453540075247976300
1964-01-01,9.51701082982205662200
1965-01-01,9.10999650064154904900
1966-01-01,9.10749286809369481300
1967-01-01,9.51471964565360415900
1968-01-01,8.71738839934914358900
1969-01-01,8.88346356443816412600
1970-01-01,10.69701703488804582300
1971-01-01,10.97212056690398562800
1972-01-01,9.98471135423856738300
1973-01-01,10.28533825002816033000
1974-01-01,11.49950943861549101700
1975-01-01,12.80978755063238819500
1976-01-01,12.58380729970997024400
1977-01-01,12.37414180540553962300
1978-01-01,12.67149111051550075900
1979-01-01,13.45475317330572930800
1980-01-01,15.24932219429075687800
1981-01-01,17.44055106926916365700
1982-01-01,22.87245202627459208200
1983-01-01,23.66581990281540196700
1984-01-01,27.11914880114039948200
1985-01-01,29.23328057654663557000
1986-01-01,29.43874260335819441900
1987-01-01,26.33108906790877742500
1988-01-01,27.61018391874981811800
1989-01-01,28.10990378345288316900
1990-01-01,29.70641175835491320000
1991-01-01,31.50916177394597366900
1992-01-01,30.88573136196850366300
1993-01-01,28.41729795203625506800
1994-01-01,26.58045426548036202100
1995-01-01,28.11369421419291392800
1996-01-01,26.28834316521126518600
1997-01-01,24.03568350908527144000
1998-01-01,22.01472164549357320400
1999-01-01,19.56132085210579741100
2000-01-01,17.30256833119103630600
2001-01-01,16.80495409789229943800
2002-01-01,16.23163278410211698500
2003-01-01,14.52492921287756294900
2004-01-01,14.04922775056735664200
2005-01-01,13.45100691920538710000
2006-01-01,14.76456980190262354300
2007-01-01,14.74873289960683460600
2008-01-01,16.96906914729348325200
2009-01-01,16.63324553286666113400
2010-01-01,15.40470686290078637500
2011-01-01,15.55475213634166856300
2012-01-01,14.01239486118521548900
2013-01-01,12.65899682242760341600
2014-01-01,12.04996856011649138000
2015-01-01,11.02583312769293207100
2016-01-01,11.88102198379849389200
2017-01-01,13.02662621341159367800
2018-01-01,16.11120262151910830300
2019-01-01,17.62022470882274329800
2020-01-01,16.65629991728747368500
